novel,name,description,importance
《散花女侠》,于承珠,“散花女侠”，于谦之女，张丹枫之徒。,main
《散花女侠》,铁镜心,石惊涛的大徒弟。,main
《散花女侠》,叶成林,叶宗留之侄，于承珠的师兄。,main
《散花女侠》,张丹枫,“天下第一剑客”，“四大剑客”之首，于承珠之师。,main
《散花女侠》,小虎子,张风府之子，张丹枫之徒。,main
《散花女侠》,张风府,“京师第一高手”，原御林军统领，锦衣卫总指挥。,other
《散花女侠》,于谦,阁部尚书，于承珠之父。,other
《散花女侠》,贯居,两湖盐运使，贯仲之子。,other
《散花女侠》,樊英,“宣花斧”，樊忠之侄，樊俊之子。,other
《散花女侠》,玄机逸士,于承珠的太祖师。,other
《散花女侠》,潮音和尚,玄机逸士二弟子,other
《散花女侠》,谢天华,玄机逸士的弟子，张丹枫之师。,other
《散花女侠》,叶盈盈,“飞天龙女”，玄机逸士的弟子，云蕾之师，谢天华之妻。,other
《散花女侠》,云蕾,“散花女侠”，张丹枫之妻。,other
《散花女侠》,云重,武状元，云蕾之兄，董岳之徒。,other
《散花女侠》,澹台镜明,云重之妻。,other
《散花女侠》,萧韵兰,上官天野的好友。,other
《散花女侠》,上官天野,乌蒙夫之师。,other
《散花女侠》,澹台灭明,上官天野大弟子，张丹枫的家将。,other
《散花女侠》,乌蒙夫,“四大剑客”之一，上官天野二弟子。,other
《散花女侠》,林仙韵,“金钩仙子”，乌蒙夫之妻。,other
《散花女侠》,武振东,“小金龙”，曾为独脚大盗，现武庄庄主。,other
《散花女侠》,周山民,金刀寨主。,other
《散花女侠》,石翠凤,周山民之妻。,other
《散花女侠》,毕愿穷,丐帮副帮主，毕擎天之侄。,other
《散花女侠》,玄瑛道长,山东上清观观主。,other
《散花女侠》,曹安,内庭侍读太监。,other
《散花女侠》,黑摩诃,印度人，白摩诃的孪生兄弟，张丹枫至交。,other
《散花女侠》,白摩诃,印度人，黑摩诃的孪生兄弟，张丹枫至交。,other
《散花女侠》,阿萨玛,阿拉伯人，伊朗国师，阿合玛的孪生兄长。,other
《散花女侠》,阿合玛,阿拉伯人，伊朗国师，阿萨玛的孪生弟弟。,other
《散花女侠》,薛老三,西洞庭山居民。,other
《散花女侠》,郭成泰,山东省的独脚大盗。,other
《散花女侠》,孟长生,郭成泰之徒。,other
《散花女侠》,了缘,莆田少林寺弟子。,other
《散花女侠》,叶宗留,台州抗倭义军统领。,other
《散花女侠》,邓茂七,台州抗倭义军副统领。,other
《散花女侠》,张黑,长江边上的舟子，义军联络员。,other
《散花女侠》,黄大庆,台州守备。,other
《散花女侠》,铁鈜,原台州御使，铁镜心之父。,other
《散花女侠》,石文纨,石惊涛之女。,other
《散花女侠》,石惊涛,“四大剑客”之一，铁镜心之师。,other
《散花女侠》,成海山,石惊涛之徒。,other
《散花女侠》,郑赶驴,义军头目。,other
《散花女侠》,王安,台州团练，铁镜心家人。,other
《散花女侠》,段澄苍,白族人，“波斯剑术第一高手”，波斯驸马。,other
《散花女侠》,沐琮,黔国公，平南将军。,other
《散花女侠》,沐燕,沐琮之女，沐璘之姐。,other
《散花女侠》,沐璘,沐琮之子，沐燕之弟，张丹枫记名弟子。,other
《散花女侠》,杜金娥,白族人，沐燕的丫鬟。,other
《散花女侠》,银桂,沐燕的丫鬟。,other
《散花女侠》,方地刚,滇南第一勇士。,other
《散花女侠》,杜焜,独脚大盗，石林匪党大头目。,other
《散花女侠》,朗英,彝人，石林匪党副头领。,other
《散花女侠》,段澄平,知平章事，段澄苍的堂兄。,other
《散花女侠》,段珠儿,段澄平之女。,other
《散花女侠》,韩振羽,“金针圣手”，振远镖局的镖头。,other
《散花女侠》,凌云凤,原名凌慕华，江西芙蓉山女寨主，霍天都的表妹。,other
《散花女侠》,霍天都,霍行仲之子，天山派的开山宗主。,other
《散花女侠》,哈木图,“大漠神狼”，塞外魔头。,other
《散花女侠》,张骥,浙江巡抚，铁鈜的学生。,other
《散花女侠》,郑国有,丐帮长老，八袋弟子。,other
《散花女侠》,叶元章,“西山医隐”。,other
《散花女侠》,龙腾,飞龙镖局的镖头。,other
《散花女侠》,朱见深,祈镇的太子。,other
《散花女侠》,周谷隐,“八臂哪吒”，“八达山人”，霍行仲的八拜之交。,other
《散花女侠》,三、反派人物,,other
《散花女侠》,祈镇,明英宗。,other
《散花女侠》,战三山,锦衣卫总指挥。,other
《散花女侠》,闻铁声,御林军统领。,other
《散花女侠》,陆展鹏,“江淮二霸”之一，大内侍卫，康超海的师弟。,other
《散花女侠》,童家骏,“江淮二霸”之一。,other
《散花女侠》,东方洛,御林军副统领。,other
《散花女侠》,阳宗海,“四大剑客”之一，大内总管，赤城子的三弟子。,other
《散花女侠》,毕擎天,毕道凡之子，西北丐帮帮主，北五省大龙头。,other
《散花女侠》,钱通海,“钱百万”，曾为独脚大盗，后洗手经商。,other
《散花女侠》,杨千斤,大内一级侍卫。,other
《散花女侠》,金万两,大内一级侍卫。,other
《散花女侠》,李涵真,阳宗海副手，太极高手。,other
《散花女侠》,娄桐荪,御林军统领，战三山的师兄。,other
《散花女侠》,石鸿博,晋北武学大师，娄桐荪、战三山之师。,other
《散花女侠》,褚玄,三品带刀侍卫。,other
《散花女侠》,高桥,日本市泊使。,other
《散花女侠》,漱越,日本六段剑客。,other
《散花女侠》,大卫门,日本七段剑客。,other
《散花女侠》,板田荣男,日本七段剑客。,other
《散花女侠》,江口,日本七段剑客。,other
《散花女侠》,近卫三郎,日本七段剑客。,other
《散花女侠》,小昭,日本七段剑客。,other
《散花女侠》,石井太郎,日本八段剑客。,other
《散花女侠》,芥川龙木,日本八段剑客。,other
《散花女侠》,长谷川,日本九段剑客。,other
《散花女侠》,蒙元子,赤城子的二弟子。,other
《散花女侠》,盘天罗,赤城子的大弟子。,other
《散花女侠》,王镇南,平南副将军。,other
《散花女侠》,张大洪,原京中侍卫，负责监视沐琮。,other
《散花女侠》,王金标,原京中侍卫，负责监视沐琮。,other
《散花女侠》,赤城子,道号“赤霞道人”，赤城派创派祖师。,other
《散花女侠》,洪岩道人,赤城子的师弟。,other
《散花女侠》,韩展,京中侍卫，杜焜的八拜之交。,other
《散花女侠》,谷中豪,滇西一霸，谷家庄庄主。,other
《散花女侠》,公孙无垢,哀牢山的鸠盘婆。,other
《散花女侠》,摘星上人,昆仑山星宿海的魔头。,other
《散花女侠》,屠龙尊者,东海明霞岛的魔头。,other
《散花女侠》,云阳真人,甘肃积石山的魔头。,other
《散花女侠》,白孟川,丐帮一流好手。,other
《散花女侠》,郝云台,“火麒麟”，哈木图之友。,other
《散花女侠》,胡宏,塞外马贼。,other
《散花女侠》,顾孟章,大盗，毕擎天的侍卫队长。,other
《散花女侠》,齐封,御林军五虎将之一。,other
《散花女侠》,楚大齐,“铁扇书生”。,other
《散花女侠》,四、提到人物,,other
《散花女侠》,祈钰,明代宗。,other
《散花女侠》,樊忠,“京师三大高手”之一。,other
《散花女侠》,樊俊,原大内侍卫，樊忠之弟。,other
《散花女侠》,贯仲,“京师三大高手”之一，暗中出卖盟友。,other
《散花女侠》,王振,卖国奸宦。,other
《散花女侠》,云靖,明朝忠臣，云重、云蕾的祖父。,other
《散花女侠》,康超海,正统年间大内总管。,other
《散花女侠》,王骥,靖远侯。,other
《散花女侠》,陈逵,指挥。,other
《散花女侠》,元涵长老,武振东邀请的客人。,other
