novel,category,name,users,school
《女帝奇英传》,,武功资料,,
《女帝奇英传》,A、,攻击类,,
《女帝奇英传》,A、,天罡刀法,恶行者,
《女帝奇英传》,A、,峨嵋剑法,长孙均量; 长孙璧; 长孙泰; 李逸; 尉迟炯,峨嵋派
《女帝奇英传》,A、,通臂拳,谷神翁,
《女帝奇英传》,A、,金刚掌,谷神翁; 李逸; 百忧上人,
《女帝奇英传》,A、,蹑云剑,谷神翁,
《女帝奇英传》,A、,小擒拿手,李逸,
《女帝奇英传》,A、,伏魔掌,李逸,
《女帝奇英传》,A、,大力鹰爪,雄巨鼎; 张挺,
《女帝奇英传》,A、,金刚指,武玄霜; 李逸; 谷神翁,
《女帝奇英传》,A、,罗汉神拳,程通,
《女帝奇英传》,A、,八仙剑法,李逸; 袁牧,
《女帝奇英传》,A、,六合鞭法,李逸,
《女帝奇英传》,A、,灵猿剑法,谢补之; 崔仲元,
《女帝奇英传》,A、,中平枪,秦堪,
《女帝奇英传》,A、,腐骨神掌,天恶道人,
《女帝奇英传》,A、,降龙鞭法,姓周的汉子,
《女帝奇英传》,A、,伏龙掌法,无,
《女帝奇英传》,A、,长镢点穴法,程建男,
《女帝奇英传》,A、,弹指神通,武玄霜,
《女帝奇英传》,A、,游身八卦刀,熊白山,
《女帝奇英传》,A、,五虎断门刀,祝见章; 南宫尚,万胜门
《女帝奇英传》,A、,大擒拿手,李逸; 百忧上人; 武玄霜,
《女帝奇英传》,A、,一指禅功,夏侯坚; 符不疑,
《女帝奇英传》,A、,大摔碑手,符不疑,
《女帝奇英传》,A、,空手入白刃,李逸; 阳太华,
《女帝奇英传》,A、,太清剑法,符不疑,
《女帝奇英传》,A、,无相剑法,优昙神尼; 谷神翁; 符不疑; 武玄霜; 裴叔度,
《女帝奇英传》,A、,伏魔杖法,百忧上人,
《女帝奇英传》,A、,天一罡气,金冠道人,
《女帝奇英传》,A、,童子功,李希敏,
《女帝奇英传》,A、,小天星掌力,百忧上人,
《女帝奇英传》,A、,阴阳双撞掌,李逸,
《女帝奇英传》,B、,防御类,,
《女帝奇英传》,B、,铁布衫,李元,
《女帝奇英传》,B、,金钟罩,灭度神君,
《女帝奇英传》,B、,沾衣十八跌,武玄霜; 天恶道人; 灭度神君; 百忧上人; 牛布衣,
《女帝奇英传》,C、,轻功类,,
《女帝奇英传》,C、,凌空步,李逸,
《女帝奇英传》,C、,八步赶蝉,李逸; 武玄霜,
《女帝奇英传》,C、,蹑云步法,谷神翁,
《女帝奇英传》,D、,其他类,,
《女帝奇英传》,D、,移宫换穴,恶行者; 毒观音,
