category,name,novels
,武功分类,武功总数
,A、剑法,共83种
,B、刀法,共47种
,C、掌、手,共155种
,D、拳法,共36种
,E、指、抓,共23种
,F、腿、脚,共7种
,G、杖、棒、棍、拐,共25种
,H、笔、镢、箫,共13种
,I、鞭法,共8种
,J、枪法,共9种
,K、特殊兵器,共22种
,L、内功、气功,共29种
,M、声音,共5种
,N、轻功、步法、身法,共39种
,O、防御,共9种
,P、医疗,共7种
,Q、阵法,共13种
,R、其它,共23种
,返回目录,合计：553种
A、,剑法,返回最上端
A、,峨嵋剑法,女帝; 白发
A、,蹑云（十三）剑法,女帝; 狂侠; 瀚海; 鸣镝; 风云; 萍踪; 白发; 七剑; 云海; 风雷; 游剑; 牧野; 弹指; 剑网; 幻剑
A、,八仙剑法,女帝; 大唐; 鸣镝; 草莽
A、,灵猿剑法,女帝
A、,太清剑法,女帝
A、,无相剑法,女帝; 狂侠
A、,袁公剑法,大唐; 龙凤; 慧剑; 龙虎
A、,龙形（六十四式）剑法,大唐; 龙凤; 风雷
A、,龙形十八（式）剑,白发; 弹指; 绝塞
A、,龙形一字剑,鸣镝; 风云
A、,青城剑法,大唐; 狂侠; 冰川; 云海; 冰河; 风雷; 游剑
A、,乱披风剑法,大唐; 龙凤; 鸣镝; 风云; 白发; 江湖; 冰川; 风雷; 游剑; 幻剑
A、,五禽剑法,慧剑; 还剑; 七剑
A、,坎离剑法,云海
A、,七绝诛魂（魄）剑,白发; 七剑
A、,混元（无极）剑法,风云; 江湖; 幻剑
A、,昆仑剑法,龙凤; 散花; 武当
A、,天（飞）龙剑法,龙凤; 慧剑; 狂侠; 还剑; 白发; 塞外; 七剑; 龙虎
A、,九宫八卦阵剑法,风雷
A、,天罡剑法,慧剑; 天骄; 狂侠
A、,玄女剑法,龙凤; 江湖; 云海; 冰河; 风雷
A、,飞花逐蝶剑法,龙凤
A、,回旋连环剑法,塞外
A、,十八盘连环剑法,游剑
A、,连环夺命剑法,龙凤; 瀚海; 鸣镝; 萍踪; 散花; 联剑; 广陵; 白发; 武当; 冰川; 云海; 冰河; 风雷; 侠骨; 牧野; 弹指; 绝塞; 剑网; 幻剑
A、,追魂夺命剑法,瀚海; 风云
A、,伏魔剑法,龙凤; 狂侠; 联剑; 冰魄
A、,流星赶月追风剑,冰川
A、,追风剑式（法）,龙凤; 联剑; 白发; 武当; 七剑; 江湖; 冰川; 云海; 冰河; 风雷; 侠骨; 游剑; 牧野; 弹指; 绝塞
A、,游身剑法,慧剑
A、,梅花剑法,龙凤; 草莽
A、,醉八仙剑法,瀚海; 云海; 侠骨; 牧野; 绝塞
A、,摩云剑法,七剑
A、,断门剑法,慧剑
A、,柔云剑法,天骄; 狂侠; 鸣镝; 散花; 武当; 冰河; 剑网
A、,西歧剑法,狂侠
A、,惊神剑法,狂侠; 瀚海; 鸣镝; 风云
A、,乱环剑诀,瀚海
A、,落英剑法,鸣镝
A、,达摩剑法,瀚海; 鸣镝; 风云; 还剑; 萍踪; 联剑; 白发; 武当; 七剑; 江湖; 冰魄; 冰川; 牧野; 草莽; 龙虎
A、,扫（落）叶剑法,瀚海
A、,七修剑法,鸣镝; 还剑
A、,越女剑法,鸣镝; 广陵
A、,百花剑法,鸣镝
A、,大五行剑法,鸣镝
A、,（大）须弥剑式,风云; 萍踪; 武当; 七剑; 江湖; 冰魄; 冰川; 云海; 冰河; 风雷; 侠骨; 游剑; 牧野; 弹指; 绝塞; 剑网
A、,三才剑法,风云; 冰河; 侠骨; 牧野; 剑网
A、,韦陀剑法,风云
A、,青阳剑法,还剑
A、,崆峒剑法（术）,还剑; 联剑
A、,太极（十三）剑式,萍踪; 散花; 武当; 草莽; 龙虎
A、,三阳剑,萍踪
A、,万流朝海元元剑法,萍踪
A、,百变（阴阳）玄机剑法,萍踪; 散花; 联剑
A、,吴钩剑法,萍踪; 七剑
A、,风雷剑法,萍踪; 联剑; 武当; 塞外; 七剑; 江湖
A、,南岳剑法,萍踪
A、,惊涛剑法,散花; 联剑; 武当
A、,旋风剑法,散花; 白发
A、,无名剑法（广陵剑）,广陵; 牧野
A、,泼风剑法,白发; 风雷
A、,七星剑法,武当
A、,飞鹰回旋剑法,武当; 龙虎
A、,寒涛剑法,塞外; 七剑; 江湖
A、,无极剑法,七剑; 冰川; 剑网; 龙虎
A、,飞云袖底剑,七剑
A、,南天剑法,江湖
A、,冰川剑法,冰魄; 冰川; 云海; 冰河; 侠骨; 游剑; 弹指; 绝塞
A、,招魂十八招剑法,冰川
A、,天遁剑,云海
A、,反天山剑法,云海
A、,大周天剑法,冰河
A、,流云剑法,冰河
A、,闪电剑法,侠骨
A、,扶桑剑法,侠骨
A、,段家剑法,牧野
A、,牟家剑法,牧野
A、,嵩山剑法,牧野
A、,泰山剑法,牧野
A、,金家剑法,牧野
A、,龙象剑法,绝塞
A、,江家剑法,绝塞
A、,幻剑,剑网; 幻剑
B、,刀法,返回最上端
B、,天罡刀法,女帝
B、,（八卦）游身八卦刀法,女帝; 大唐; 慧剑; 狂侠; 瀚海; 江湖; 风雷; 游剑
B、,五虎断门刀法,女帝; 龙凤; 慧剑; 天骄; 狂侠; 瀚海; 鸣镝; 风云; 萍踪; 散花; 白发; 江湖; 风雷; 侠骨; 游剑; 牧野; 剑网; 草莽; 龙虎
