from,to,relation,novel,section
李渊,李世民,父母子女/亲属,女帝奇英传,大唐皇室与朝廷
李世民,李治,父母子女/亲属,女帝奇英传,大唐皇室与朝廷
李治,李逸,父母子女/亲属,女帝奇英传,李治 --夫妻-- 文成公主
李逸,李韬,父母子女/亲属,女帝奇英传,李治 --夫妻-- 文成公主
李韬,李希敏,父母子女/亲属,女帝奇英传,李治 --夫妻-- 文成公主
李希敏,长孙璧,父母子女/亲属,女帝奇英传,李治 --夫妻-- 文成公主
长孙璧,长孙均量,父母子女/亲属,女帝奇英传,李治 --夫妻-- 文成公主
长孙璧,徐敬业,父母子女/亲属,女帝奇英传,长孙均量 --夫妻-- 李逸
徐敬业,程务挺,上下属,女帝奇英传,长孙均量 --夫妻-- 李逸
程务挺,上官婉儿,父母子女/亲属,女帝奇英传,长孙均量 --夫妻-- 李逸
李建成,李渊,父母子女/亲属,女帝奇英传,长孙均量 --夫妻-- 李逸
李建成,李豹,父母子女/亲属,女帝奇英传,长孙均量 --夫妻-- 李逸
尉迟恭,尉迟炯,后人,女帝奇英传,长孙均量 --夫妻-- 李逸
尉迟炯,上官庭芝,上下属,女帝奇英传,长孙均量 --夫妻-- 李逸
上官庭芝,裴文庆,父母子女/亲属,女帝奇英传,上官庭芝 --夫妻-- 郑十三娘
裴文庆,王安,父母子女/亲属,女帝奇英传,上官庭芝 --夫妻-- 郑十三娘
上官婉儿,郑十三娘,父母子女/亲属,女帝奇英传,上官庭芝 --夫妻-- 郑十三娘
长孙泰,郑十三娘,父母子女/亲属,女帝奇英传,上官庭芝 --夫妻-- 郑十三娘
长孙泰,长孙情,父母子女/亲属,女帝奇英传,上官庭芝 --夫妻-- 郑十三娘
长孙情,如意,上下属,女帝奇英传,上官庭芝 --夫妻-- 郑十三娘
袁叔度,袁琼香,留后,女帝奇英传,武家、周朝相关
袁琼香,妙玉,父母子女/亲属,女帝奇英传,武家、周朝相关
袁琼香,武玄霜,父母子女/亲属,女帝奇英传,武家、周朝相关
袁琼香,武承嗣,父母子女/亲属,女帝奇英传,武家、周朝相关
袁琼香,武则天,父母子女/亲属,女帝奇英传,武家、周朝相关
武则天,武玄霜,父母子女/亲属,女帝奇英传,武家、周朝相关
武则天,金冠道人,父母子女/亲属,女帝奇英传,武家、周朝相关
武则天,封牧野,父母子女/亲属,女帝奇英传,武家、周朝相关
武承嗣,太平公主,父母子女/亲属,女帝奇英传,武家、周朝相关
太平公主,萧至忠,上下属,女帝奇英传,太平公主 --夫妻-- 窦怀贞
太平公主,李弘,父母子女/亲属,女帝奇英传,太平公主 --夫妻-- 窦怀贞
太平公主,李贤,父母子女/亲属,女帝奇英传,太平公主 --夫妻-- 窦怀贞
太平公主,李显,父母子女/亲属,女帝奇英传,太平公主 --夫妻-- 窦怀贞
太平公主,李旦,父母子女/亲属,女帝奇英传,太平公主 --夫妻-- 窦怀贞
武玄霜,武飞卿,师徒,女帝奇英传,太平公主 --夫妻-- 窦怀贞
武飞卿,崔九符,父母子女/亲属,女帝奇英传,太平公主 --夫妻-- 窦怀贞
崔九符,祝见喜,上下属,女帝奇英传,太平公主 --夫妻-- 窦怀贞
祝见喜,生布衣,父母子女/亲属,女帝奇英传,太平公主 --夫妻-- 窦怀贞
生布衣,武延秀,父母子女/亲属,女帝奇英传,太平公主 --夫妻-- 窦怀贞
武延秀,张易之,父母子女/亲属,女帝奇英传,太平公主 --夫妻-- 窦怀贞
张易之,黑齿常之,父母子女/亲属,女帝奇英传,太平公主 --夫妻-- 窦怀贞
丘神勣,程务申,上下属,女帝奇英传,太平公主 --夫妻-- 窦怀贞
程务申,裴炎,父母子女/亲属,女帝奇英传,太平公主 --夫妻-- 窦怀贞
裴炎,熊白山,父母子女/亲属,女帝奇英传,太平公主 --夫妻-- 窦怀贞
熊白山,裴昌,父母子女/亲属,女帝奇英传,太平公主 --夫妻-- 窦怀贞
裴昌,谢补之,父母子女/亲属,女帝奇英传,太平公主 --夫妻-- 窦怀贞
张廷,西门霸,父母子女/亲属,女帝奇英传,太平公主 --夫妻-- 窦怀贞
西门霸,李明之,父母子女/亲属,女帝奇英传,太平公主 --夫妻-- 窦怀贞
李明之,崔仲元,父母子女/亲属,女帝奇英传,太平公主 --夫妻-- 窦怀贞
崔仲元,白元化,父母子女/亲属,女帝奇英传,太平公主 --夫妻-- 窦怀贞
白元化,韩荣,父母子女/亲属,女帝奇英传,太平公主 --夫妻-- 窦怀贞
秦槐,萧至忠,父母子女/亲属,女帝奇英传,太平公主 --夫妻-- 窦怀贞
萧至忠,太平公主,父母子女/亲属,女帝奇英传,太平公主 --夫妻-- 窦怀贞
程建男,程达苏,父母子女/亲属,女帝奇英传,伏虎帮
程达苏,南宫尚,上下属,女帝奇英传,伏虎帮
程达苏,符不疑,父母子女/亲属,女帝奇英传,伏虎帮
符不疑,夏侯坚,父母子女/亲属,女帝奇英传,伏虎帮
鲁哈扎儿,默啜,父母子女/亲属,女帝奇英传,卡洛丝 --夫妻-- 沙尔海
莫贺达,百忧上人,师徒,女帝奇英传,卡洛丝 --夫妻-- 沙尔海
天恶道人,毒观音,师徒,女帝奇英传,卡洛丝 --夫妻-- 沙尔海
阳太华,天恶道人,师徒,女帝奇英传,卡洛丝 --夫妻-- 沙尔海
阳太华,百忧上人,师徒,女帝奇英传,卡洛丝 --夫妻-- 沙尔海
灰度神君,阳太华,师徒,女帝奇英传,卡洛丝 --夫妻-- 沙尔海
龙绍圣,谷神翁,师徒,女帝奇英传,阳镜明
牟沧浪,牟独逸,后人,女帝奇英传,武当派主线
牟独逸,张三丰,后人,女帝奇英传,武当派主线
牟一羽,牟沧浪,父母子女/亲属,女帝奇英传,武当派主线
牟沧浪,牟一羽,父母子女/亲属,女帝奇英传,牟沧浪 --情侣-- 小五义
牟一羽,无极道人,师徒,女帝奇英传,牟沧浪 --情侣-- 小五义
无极道人,无相真人,师徒,女帝奇英传,牟沧浪 --情侣-- 小五义
无相真人,金光真人,师徒,女帝奇英传,牟沧浪 --情侣-- 小五义
金光真人,幻空真人,师徒,女帝奇英传,牟沧浪 --情侣-- 小五义
蓝水灵,蓝掌山,师徒,女帝奇英传,牟沧浪 --情侣-- 小五义
蓝水灵,何亮,父母子女/亲属,女帝奇英传,牟沧浪 --情侣-- 小五义
何亮,不妄,父母子女/亲属,女帝奇英传,牟沧浪 --情侣-- 小五义
不妄,不难,父母子女/亲属,女帝奇英传,牟沧浪 --情侣-- 小五义
不难,不戒,父母子女/亲属,女帝奇英传,牟沧浪 --情侣-- 小五义
不戒,不歧,父母子女/亲属,女帝奇英传,牟沧浪 --情侣-- 小五义
不歧,何其武,父母子女/亲属,女帝奇英传,牟沧浪 --情侣-- 小五义
何其武,耿玉京,师徒,女帝奇英传,牟沧浪 --情侣-- 小五义
耿京士,何玉燕,父母子女/亲属,女帝奇英传,耿玉京 --夫妻-- 耿京士
不波,无相真人,师徒,女帝奇英传,耿玉京 --夫妻-- 耿京士
丁玄鹤,不歧,父母子女/亲属,女帝奇英传,耿玉京 --夫妻-- 耿京士
丁玄鹤,何其武,师徒,女帝奇英传,耿玉京 --夫妻-- 耿京士
无量道人,无相真人,师徒,女帝奇英传,耿玉京 --夫妻-- 耿京士
无量道人,不败,师徒,女帝奇英传,耿玉京 --夫妻-- 耿京士
无量道人,不呆,师徒,女帝奇英传,耿玉京 --夫妻-- 耿京士
无量道人,不破,师徒,女帝奇英传,耿玉京 --夫妻-- 耿京士
无量道人,不弱,师徒,女帝奇英传,耿玉京 --夫妻-- 耿京士
无色道人,不浮,师徒,女帝奇英传,耿玉京 --夫妻-- 耿京士
凤栖梧,红绡,上下属,女帝奇英传,小五义
红绡,紫玉,上下属,女帝奇英传,小五义
紫玉,西门燕,上下属,女帝奇英传,小五义
西门燕,陆志诚,上下属,女帝奇英传,小五义
陆志诚,来保儿,上下属,女帝奇英传,小五义
来保儿,王晦闻,上下属,女帝奇英传,小五义
王晦闻,王晦卢,父母子女/亲属,女帝奇英传,小五义
郭璞,郭东来,父母子女/亲属,女帝奇英传,小五义
郭东来,王晦闻,父母子女/亲属,女帝奇英传,小五义
王晦闻,殷明珠,父母子女/亲属,女帝奇英传,小五义
穆盈盈,郭璞,父母子女/亲属,女帝奇英传,穆盈盈 --情侣-- 殷明珠
慧可,丁经,上下属,女帝奇英传,穆盈盈 --情侣-- 殷明珠
丁经,丁凡,父母子女/亲属,女帝奇英传,穆盈盈 --情侣-- 殷明珠
慧可,丁凡,上下属,女帝奇英传,穆盈盈 --情侣-- 殷明珠
殷明珠,东方皓,师徒,女帝奇英传,穆盈盈 --情侣-- 殷明珠
东方皓,东方亮,师徒,女帝奇英传,穆盈盈 --情侣-- 殷明珠
东方亮,向天明,师徒,女帝奇英传,穆盈盈 --情侣-- 殷明珠
向天明,玄贞子,师徒,女帝奇英传,穆盈盈 --情侣-- 殷明珠
玄贞子,玄通子,同门/师兄弟,女帝奇英传,穆盈盈 --情侣-- 殷明珠
慧可,丁经,师徒,女帝奇英传,少林
丁经,丁凡,父母子女/亲属,女帝奇英传,少林
唐仇仙,唐仰山,父母子女/亲属,女帝奇英传,四川唐家
常五娘,唐仰山,父母子女/亲属,女帝奇英传,唐仰山 --夫妻-- 常五娘
陆志诚,罗江峰,父母子女/亲属,女帝奇英传,黑鲨帮
罗江峰,连慎,父母子女/亲属,女帝奇英传,黑鲨帮
韩超,努尔哈赤,上下属,女帝奇英传,金国
齐真君,金鼎礼,上下属,女帝奇英传,金国
金鼎礼,廖学柜,上下属,女帝奇英传,金国
廖学柜,英松龄,上下属,女帝奇英传,金国
韩超,廖学柜,上下属,女帝奇英传,金国
